DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3828.7,0.1778,2.2693,40.6933,38.5888,5.2002,8.5569,73.71598217157388
3828.8,0.1765,2.271,40.3106,42.7309,5.2066,8.5569,73.71598217157388
3828.9,0.174,2.2758,39.3248,47.9218,5.2416,8.5569,73.28371703044658
3829.0,0.1692,2.2821,39.3437,53.4417,5.3049,8.5569,72.75853897749892
3829.1,0.1625,2.2884,39.2479,63.3495,5.3854,8.5569,72.42227384791259
3829.2,0.1549,2.2949,39.565,71.0036,5.4756,8.557,69.98115841506188
3829.3,0.1446,2.3032,39.2977,77.257,5.5439,8.6057,67.45330107743024
3829.4,0.1374,2.3126,38.713,69.8777,5.5721,8.6057,66.27954421760353
3829.5,0.1328,2.3209,39.2706,57.7989,5.5633,8.6056,65.69433155985843
3829.6,0.1218,2.3278,38.5181,46.062,5.5331,8.557,64.7131811517983
3829.7,0.1178,2.3366,37.6592,44.6597,5.5059,8.5812,63.365473991492976
3829.8,0.1117,2.3513,37.3744,49.6207,5.4843,8.557,62.83658922759105
3829.9,0.1025,2.37,36.0154,56.3282,5.468,8.6057,61.928365406253064
3830.0,0.0936,2.3877,35.9705,72.1514,5.4639,8.6058,61.23540631303733
3830.1,0.0885,2.3999,35.6622,74.1399,5.4874,8.6383,61.32739502759546
3830.2,0.0801,2.4093,34.8465,77.7088,5.5692,8.622,61.34310063677639
3830.3,0.0771,2.4232,35.4682,72.4922,5.7383,8.6057,61.20561837171086
3830.4,0.0736,2.4463,34.2195,61.5247,5.9935,8.6058,61.15307677595623
3830.5,0.0692,2.4785,32.8279,51.0662,6.2975,8.6383,61.52454076178935
3830.6,0.0681,2.5156,32.7591,47.7554,6.5701,8.6383,61.34717184503867
3830.7,0.0685,2.5525,32.1419,47.4216,6.7279,8.6383,61.30687932839898
3830.8,0.0706,2.5838,31.5153,45.5308,6.7645,8.6382,61.30687932839898
3830.9,0.0762,2.6063,30.6818,43.0312,6.7337,8.6057,61.193651056102944
3831.0,0.0804,2.6206,29.7369,44.2663,6.6981,8.6058,60.925749104577584
3831.1,0.0819,2.6265,30.0717,46.0965,6.6639,8.6383,61.193651056102944
3831.2,0.0845,2.6252,31.3562,48.7317,6.6217,8.6383,61.30687932839898
3831.3,0.0872,2.6183,32.8203,50.2762,6.5871,8.6383,61.30687932839898
3831.4,0.0915,2.6031,33.1268,50.437,6.5916,8.6384,61.30687932839898
3831.5,0.095,2.578,32.3652,50.3564,6.6261,8.6628,61.30687932839898
3831.6,0.1036,2.5439,32.5024,47.6172,6.6382,8.6871,61.35282591909545
3831.7,0.1138,2.5048,33.054,44.3507,6.5987,8.6871,61.44306242750099
3831.8,0.1219,2.4635,33.6957,42.8978,6.5283,8.6872,62.57038330116871
3831.9,0.1332,2.4223,35.1236,38.6581,6.4473,8.7359,63.79115917525212
3832.0,0.1446,2.3843,35.9024,35.9149,6.3538,8.7358,66.19309711608177
3832.1,0.1592,2.3515,36.2296,31.6689,6.2063,8.6871,70.58756822696475
3832.2,0.1711,2.3207,36.156,24.6849,6.0049,8.6871,73.01791297325151
3832.3,0.1819,2.2887,36.4939,19.5983,5.7843,8.687,75.21295666400373
3832.4,0.1931,2.2614,37.3232,16.5609,5.6084,8.6626,79.0709750085161
3832.5,0.1989,2.2427,38.6249,14.3336,5.5129,8.6383,82.4731654964372
3832.6,0.203,2.2329,38.336,13.0713,5.494,8.6383,83.09558621209968
3832.7,0.2074,2.2275,39.0065,11.3372,5.524,8.6383,84.52332232309104
3832.8,0.2128,2.2228,40.3288,9.9474,5.5703,8.6383,84.82717354339462
3832.9,0.2187,2.2168,41.1422,8.9333,5.5904,8.6383,85.69069216199041
3833.0,0.2235,2.21,40.7626,8.2669,5.5672,8.6383,87.3844933488378
3833.1,0.2256,2.2039,41.0294,7.5454,5.524,8.6383,89.02169441718542
3833.2,0.2266,2.2003,39.6096,7.2277,5.4946,8.6383,89.07050523431053
3833.3,0.2284,2.1986,39.4052,6.8512,5.4992,8.6383,90.72702085437336
3833.4,0.2311,2.1973,39.494,6.4498,5.5241,8.6383,90.74791782122252
3833.5,0.2323,2.1964,39.1227,6.0859,5.5608,8.6383,91.71522142607861
3833.6,0.2289,2.1966,37.7806,5.8255,5.5848,8.6383,89.81054662234183
3833.7,0.2237,2.1979,38.3679,5.6867,5.5696,8.6383,90.14761536127232
3833.8,0.2213,2.1988,39.2467,5.5814,5.5112,8.6383,90.17978550246795
3833.9,0.2231,2.1983,38.9539,5.5049,5.4479,8.6383,89.58821994116818
3834.0,0.2266,2.1974,40.1024,5.3944,5.4198,8.6383,90.1681652050124
3834.1,0.2281,2.1973,40.5659,5.362,5.4307,8.6383,90.62303169883953
3834.2,0.2265,2.1981,38.9259,5.3349,5.4424,8.6383,90.0680394501156
3834.3,0.2234,2.1984,39.7973,5.3008,5.4341,8.6383,89.686867328754
3834.4,0.2229,2.1981,40.8364,5.292,5.4175,8.622,89.686867328754
3834.5,0.221,2.198,40.4088,5.2854,5.4139,8.6058,89.686867328754
3834.6,0.2173,2.1984,39.9948,5.2826,5.4227,8.6383,88.91603057171838
3834.7,0.2168,2.1982,38.0767,5.2696,5.4144,8.6383,88.81972151242631
3834.8,0.2182,2.1966,37.9481,5.2614,5.3652,8.6383,88.58436412973798
3834.9,0.2219,2.1937,40.052,5.2439,5.2825,8.6383,88.5787950734017
3835.0,0.2265,2.1911,40.0731,5.2092,5.2091,8.6383,89.04365610264476
3835.1,0.2296,2.1902,38.9875,5.1593,5.1917,8.6383,89.69558703613548
3835.2,0.2295,2.1915,40.0359,5.1213,5.2509,8.6383,89.48284725956402
3835.3,0.2265,2.1942,40.1934,5.0898,5.3924,8.6383,90.17123830376083
3835.4,0.2227,2.1964,40.9129,5.1004,5.5861,8.6383,90.61009672557996
