DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
4433.0,0.241,2.588,33.503,2.045,6.373,8.766,81.86057027066097
4433.1,0.24,2.574,37.454,2.04,6.301,8.75,83.52169802100896
4433.2,0.241,2.57,40.433,1.916,6.253,8.75,83.52169802100896
4433.3,0.244,2.572,40.825,1.699,6.213,8.75,85.43846509846827
4433.4,0.249,2.577,38.893,1.68,6.207,8.75,85.77922248402824
4433.5,0.255,2.585,38.129,1.893,6.233,8.75,87.9955649637007
4433.6,0.26,2.596,38.353,2.095,6.247,8.75,87.9955649637007
4433.7,0.263,2.605,38.779,2.06,6.217,8.75,87.9955649637007
4433.8,0.26,2.603,38.44,2.07,6.149,8.75,87.9955649637007
4433.9,0.252,2.591,40.691,2.081,6.06,8.773,85.63416653552073
4434.0,0.247,2.574,42.824,1.965,5.937,8.76,85.61647029937507
4434.1,0.242,2.557,43.506,1.655,5.8,8.766,84.10528141851425
4434.2,0.24,2.539,46.318,1.419,5.715,8.75,85.02777198342001
4434.3,0.238,2.524,49.573,1.499,5.74,8.76,85.02777198342001
4434.4,0.243,2.516,51.634,1.371,5.855,8.76,87.13752936133706
4434.5,0.248,2.52,54.823,1.136,6.005,8.75,87.55107847241955
4434.6,0.253,2.536,53.982,0.864,6.155,8.75,87.31168063974962
4434.7,0.255,2.558,52.982,0.93,6.285,8.75,88.62916251336597
4434.8,0.257,2.581,52.256,1.273,6.352,8.727,88.13795535917737
4434.9,0.255,2.601,49.637,1.533,6.313,8.75,87.89215240882022
4435.0,0.259,2.612,48.225,1.907,6.194,8.734,88.02986345280938
4435.1,0.269,2.612,49.007,2.173,6.067,8.703,89.49325919791309
4435.2,0.276,2.602,53.555,2.452,6.008,8.703,89.0613368169504
4435.3,0.278,2.591,56.017,3.119,6.034,8.703,89.85303662211483
4435.4,0.277,2.587,56.128,3.414,6.143,8.703,89.85303662211483
4435.5,0.277,2.593,55.077,3.512,6.335,8.703,89.85303662211483
4435.6,0.278,2.605,55.45,3.904,6.614,8.682,89.01454178658868
4435.7,0.28,2.618,58.333,4.307,6.945,8.703,89.99336741966528
4435.8,0.282,2.628,61.072,4.394,7.264,8.703,90.65823258183325
4435.9,0.284,2.631,61.537,4.118,7.507,8.703,90.32523956841887
4436.0,0.286,2.63,63.667,4.115,7.64,8.703,90.32523956841887
4436.1,0.289,2.632,64.63,4.112,7.684,8.703,90.32523956841887
4436.2,0.293,2.64,64.238,4.195,7.69,8.703,92.09482335248856
4436.3,0.295,2.656,62.637,4.193,7.724,8.703,92.09482335248856
4436.4,0.298,2.677,60.871,4.41,7.838,8.703,93.27701119362972
4436.5,0.302,2.705,59.182,4.484,8.062,8.703,94.24391059414528
4436.6,0.306,2.74,56.808,4.41,8.346,8.703,94.38954016796191
4436.7,0.311,2.776,53.332,4.497,8.596,8.682,93.63755729683434
4436.8,0.312,2.805,51.359,4.55,8.728,8.672,94.04272161689872
4436.9,0.315,2.819,51.623,4.661,8.727,8.672,94.04272161689872
4437.0,0.319,2.823,53.102,4.685,8.668,8.688,93.89372371674435
4437.1,0.328,2.823,52.859,4.66,8.593,8.703,92.45120524193393
4437.2,0.335,2.823,54.597,4.698,8.489,8.703,92.45120524193393
4437.3,0.34,2.816,57.807,4.559,8.33,8.716,90.7982133813106
4437.4,0.344,2.801,61.754,4.577,8.149,8.729,90.7982133813106
4437.5,0.349,2.779,61.697,4.508,7.995,8.703,92.23306473268232
4437.6,0.349,2.756,63.025,4.581,7.86,8.75,89.29526396032108
4437.7,0.349,2.73,62.84,4.865,7.707,8.75,89.29526396032108
4437.8,0.352,2.699,66.268,5.183,7.538,8.726,90.7982133813106
4437.9,0.355,2.667,66.807,5.326,7.39,8.703,92.70481947463506
4438.0,0.361,2.636,67.148,5.388,7.288,8.703,93.94460873051257
4438.1,0.366,2.61,68.012,5.358,7.229,8.703,94.71588497870617
4438.2,0.367,2.593,68.903,5.344,7.196,8.703,94.71588497870617
4438.3,0.364,2.586,68.656,5.365,7.182,8.703,94.71588497870617
4438.4,0.362,2.59,70.631,5.371,7.199,8.693,93.74617246100901
4438.5,0.364,2.6,72.466,5.072,7.264,8.672,93.74617246100901
4438.6,0.371,2.61,71.552,4.51,7.378,8.672,93.5194403075964
4438.7,0.377,2.617,69.452,4.297,7.519,8.672,93.10513069753539
4438.8,0.373,2.622,70.475,4.45,7.649,8.688,93.31166291527077
4438.9,0.365,2.629,73.432,4.566,7.705,8.703,93.94693736197792
4439.0,0.357,2.64,74.525,4.845,7.645,8.703,93.94693736197792
4439.1,0.356,2.654,76.551,4.898,7.486,8.699,92.99878436716396
4439.2,0.361,2.67,75.875,4.872,7.281,8.672,92.99878436716396
4439.3,0.363,2.685,74.506,5.374,7.101,8.766,90.6513624628336
4439.4,0.366,2.696,73.771,5.517,7.016,8.766,90.49780317268574
4439.5,0.36,2.698,72.733,4.7,7.05,8.828,90.49780317268574
4439.6,0.355,2.692,72.245,4.229,7.168,8.797,89.92651927847278
4439.7,0.349,2.681,73.468,4.198,7.302,8.727,91.4596714986664
4439.8,0.347,2.674,70.002,4.116,7.429,8.727,91.4596714986664
4439.9,0.346,2.677,66.431,4.079,7.588,8.766,88.59998156153166
4440.0,0.348,2.693,63.976,4.032,7.812,8.75,88.59998156153166
4440.1,0.347,2.717,60.93,3.747,8.086,8.726,90.07012189605416
4440.2,0.347,2.737,59.037,3.607,8.381,8.693,90.7993773908517
4440.3,0.348,2.749,55.517,3.355,8.692,8.672,90.7993773908517
4440.4,0.348,2.756,54.13,3.358,9.017,8.682,90.7993773908517
4440.5,0.349,2.761,54.317,3.092,9.32,8.703,91.68590853106802
