NPHI,RHOB,GR,RT,PEF,CALI,DT,WELL,DEPTH
0.232,2.202,29.614,0.344,4.876,8.578,94.534,15_9-F-11A,2676.9
0.231,2.201,28.242,0.344,4.882,8.578,94.678,15_9-F-11A,2677.0
0.234,2.2,27.1,0.343,4.922,8.578,94.835,15_9-F-11A,2677.1
0.242,2.198,26.483,0.342,4.973,8.547,95.013,15_9-F-11A,2677.2
0.248,2.194,26.744,0.339,5.004,8.547,95.134,15_9-F-11A,2677.3
0.252,2.19,26.798,0.337,4.998,8.547,95.258,15_9-F-11A,2677.4
0.254,2.189,28.042,0.336,4.969,8.547,95.395,15_9-F-11A,2677.5
0.254,2.191,28.917,0.336,4.941,8.547,95.503,15_9-F-11A,2677.6
0.252,2.194,29.091,0.333,4.929,8.547,95.649,15_9-F-11A,2677.7
0.25,2.195,28.645,0.333,4.941,8.578,95.888,15_9-F-11A,2677.8
0.25,2.195,28.357,0.333,4.983,8.578,96.084,15_9-F-11A,2677.9
0.251,2.194,29.091,0.328,5.049,8.578,96.327,15_9-F-11A,2678.0
0.251,2.193,28.808,0.326,5.12,8.625,96.723,15_9-F-11A,2678.1
0.254,2.192,28.726,0.324,5.17,8.625,97.071,15_9-F-11A,2678.2
0.259,2.189,28.223,0.321,5.193,8.578,97.45,15_9-F-11A,2678.3
0.261,2.186,25.951,0.318,5.174,8.578,97.986,15_9-F-11A,2678.4
0.26,2.182,25.857,0.313,5.126,8.602,98.414,15_9-F-11A,2678.5
0.266,2.178,28.01,0.314,5.067,8.625,98.789,15_9-F-11A,2678.6
0.269,2.175,28.59,0.312,5.024,8.578,99.135,15_9-F-11A,2678.7
0.27,2.175,27.009,0.311,5.01,8.578,99.45,15_9-F-11A,2678.8
0.269,2.177,25.975,0.307,5.017,8.578,99.747,15_9-F-11A,2678.9
0.263,2.177,26.726,0.304,5.026,8.625,100.024,15_9-F-11A,2679.0
0.26,2.174,26.393,0.301,5.024,8.625,100.308,15_9-F-11A,2679.1
0.258,2.17,27.374,0.297,5.011,8.625,100.582,15_9-F-11A,2679.2
0.258,2.167,28.49,0.296,5.003,8.625,100.708,15_9-F-11A,2679.3
0.259,2.165,26.958,0.297,5.007,8.625,100.865,15_9-F-11A,2679.4
0.26,2.164,27.679,0.3,5.024,8.625,101.049,15_9-F-11A,2679.5
0.261,2.165,29.001,0.311,5.043,8.625,101.262,15_9-F-11A,2679.6
0.262,2.168,28.137,0.317,5.059,8.625,101.524,15_9-F-11A,2679.7
0.26,2.172,29.59,0.318,5.069,8.625,101.835,15_9-F-11A,2679.8
0.256,2.176,30.667,0.322,5.078,8.625,102.467,15_9-F-11A,2679.9
0.254,2.178,32.012,0.325,5.095,8.625,103.321,15_9-F-11A,2680.0
0.263,2.179,34.147,0.317,5.139,8.625,104.43,15_9-F-11A,2680.1
0.279,2.179,41.868,0.324,5.232,8.578,106.147,15_9-F-11A,2680.2
0.303,2.175,51.227,0.353,5.372,8.625,108.435,15_9-F-11A,2680.3
0.34,2.165,58.239,0.38,5.555,8.578,111.476,15_9-F-11A,2680.4
0.379,2.155,68.761,0.426,5.775,8.578,114.522,15_9-F-11A,2680.5
0.417,2.152,76.484,0.424,6.03,8.578,117.275,15_9-F-11A,2680.6
0.445,2.157,78.227,0.433,6.268,8.578,119.517,15_9-F-11A,2680.7
0.45,2.168,78.529,0.446,6.424,8.578,121.076,15_9-F-11A,2680.8
0.432,2.18,77.237,0.449,6.455,8.578,122.583,15_9-F-11A,2680.9
0.399,2.192,71.749,0.461,6.369,8.578,124.258,15_9-F-11A,2681.0
0.368,2.203,65.306,0.476,6.199,8.578,125.804,15_9-F-11A,2681.1
0.343,2.212,54.491,0.474,5.984,8.578,126.827,15_9-F-11A,2681.2
0.321,2.22,43.582,0.475,5.757,8.578,126.519,15_9-F-11A,2681.3
0.3,2.226,36.136,0.462,5.538,8.578,123.298,15_9-F-11A,2681.4
0.28,2.229,33.014,0.461,5.342,8.578,118.143,15_9-F-11A,2681.5
0.268,2.23,29.512,0.463,5.194,8.547,109.685,15_9-F-11A,2681.6
0.258,2.23,30.152,0.462,5.124,8.563,102.87,15_9-F-11A,2681.7
0.257,2.23,31.009,0.462,5.137,8.578,97.217,15_9-F-11A,2681.8
0.26,2.23,31.098,0.439,5.207,8.578,93.703,15_9-F-11A,2681.9
0.265,2.229,32.038,0.44,5.291,8.578,92.601,15_9-F-11A,2682.0
0.268,2.227,33.136,0.444,5.344,8.578,92.847,15_9-F-11A,2682.1
0.266,2.226,32.32,0.454,5.359,8.578,93.39,15_9-F-11A,2682.2
0.259,2.227,31.628,0.459,5.341,8.578,94.733,15_9-F-11A,2682.3
0.251,2.229,33.27,0.466,5.313,8.578,96.523,15_9-F-11A,2682.4
0.245,2.232,34.42,0.464,5.304,8.578,97.327,15_9-F-11A,2682.5
0.243,2.236,34.896,0.472,5.317,8.578,98.16,15_9-F-11A,2682.6
0.242,2.24,33.75,0.488,5.328,8.578,98.992,15_9-F-11A,2682.7
0.24,2.244,35.565,0.522,5.317,8.578,99.008,15_9-F-11A,2682.8
0.241,2.246,38.024,0.542,5.293,8.578,99.311,15_9-F-11A,2682.9
0.252,2.247,38.75,0.543,5.292,8.578,99.897,15_9-F-11A,2683.0
0.275,2.249,43.605,0.54,5.346,8.578,101.655,15_9-F-11A,2683.1
0.306,2.254,53.055,0.555,5.477,8.578,104.156,15_9-F-11A,2683.2
0.337,2.263,63.196,0.566,5.692,8.578,107.514,15_9-F-11A,2683.3
0.363,2.276,70.57,0.6,5.967,8.578,110.859,15_9-F-11A,2683.4
0.379,2.289,80.645,0.618,6.236,8.578,113.448,15_9-F-11A,2683.5
0.379,2.302,81.78,0.658,6.396,8.578,114.943,15_9-F-11A,2683.6
0.368,2.31,78.676,0.688,6.362,8.578,115.732,15_9-F-11A,2683.7
0.349,2.307,69.89,0.685,6.147,8.578,115.081,15_9-F-11A,2683.8
0.33,2.292,57.14,0.664,5.827,8.578,112.041,15_9-F-11A,2683.9
0.316,2.269,49.158,0.526,5.503,8.578,108.454,15_9-F-11A,2684.0
0.307,2.242,43.552,0.442,5.256,8.578,103.282,15_9-F-11A,2684.1
0.302,2.216,37.567,0.406,5.129,8.578,94.865,15_9-F-11A,2684.2
0.295,2.198,35.435,0.37,5.1,8.578,93.826,15_9-F-11A,2684.3
0.288,2.187,34.491,0.374,5.121,8.547,93.807,15_9-F-11A,2684.4
0.277,2.184,31.572,0.454,5.141,8.547,91.137,15_9-F-11A,2684.5
0.269,2.185,29.804,0.5,5.13,8.547,91.792,15_9-F-11A,2684.6
0.265,2.187,31.64,0.517,5.103,8.547,92.85,15_9-F-11A,2684.7
0.265,2.191,32.008,0.508,5.075,8.547,91.172,15_9-F-11A,2684.8
0.264,2.195,30.371,0.496,5.059,8.547,91.019,15_9-F-11A,2684.9
0.264,2.2,30.89,0.521,5.058,8.547,91.384,15_9-F-11A,2685.0
0.265,2.204,30.18,0.592,5.068,8.547,90.966,15_9-F-11A,2685.1
0.267,2.207,30.267,0.61,5.077,8.547,91.067,15_9-F-11A,2685.2
0.269,2.21,29.456,0.645,5.074,8.547,91.407,15_9-F-11A,2685.3
0.271,2.212,29.698,0.654,5.07,8.547,91.41,15_9-F-11A,2685.4
0.273,2.214,30.49,0.666,5.081,8.547,91.529,15_9-F-11A,2685.5
0.27,2.218,30.465,0.674,5.108,8.578,91.71,15_9-F-11A,2685.6
0.263,2.223,31.334,0.686,5.138,8.578,91.705,15_9-F-11A,2685.7
0.252,2.23,32.461,0.705,5.152,8.578,91.717,15_9-F-11A,2685.8
0.241,2.235,32.911,0.726,5.159,8.578,91.722,15_9-F-11A,2685.9
0.234,2.236,32.74,0.736,5.164,8.578,90.987,15_9-F-11A,2686.0
0.235,2.237,31.39,0.742,5.173,8.578,90.531,15_9-F-11A,2686.1
0.238,2.237,32.015,0.736,5.185,8.547,90.354,15_9-F-11A,2686.2
0.241,2.237,32.67,0.758,5.196,8.547,90.162,15_9-F-11A,2686.3
0.241,2.24,32.963,0.776,5.201,8.547,90.145,15_9-F-11A,2686.4
0.237,2.243,32.432,0.791,5.198,8.547,90.339,15_9-F-11A,2686.5
0.232,2.248,31.383,0.791,5.195,8.547,90.682,15_9-F-11A,2686.6
0.227,2.252,31.669,0.773,5.209,8.547,91.146,15_9-F-11A,2686.7
0.226,2.254,31.857,0.752,5.232,8.547,91.771,15_9-F-11A,2686.8
0.228,2.252,29.805,0.754,5.249,8.547,92.468,15_9-F-11A,2686.9
0.231,2.248,28.883,0.755,5.247,8.547,93.1,15_9-F-11A,2687.0
0.229,2.245,30.801,0.754,5.235,8.547,93.599,15_9-F-11A,2687.1
0.228,2.245,31.138,0.749,5.229,8.578,93.903,15_9-F-11A,2687.2
0.227,2.246,30.265,0.745,5.222,8.578,93.875,15_9-F-11A,2687.3
0.226,2.247,29.394,0.742,5.214,8.578,93.192,15_9-F-11A,2687.4
0.228,2.247,29.779,0.732,5.18,8.578,92.515,15_9-F-11A,2687.5
0.232,2.247,28.985,0.725,5.126,8.578,91.728,15_9-F-11A,2687.6
0.239,2.246,28.715,0.714,5.082,8.578,90.622,15_9-F-11A,2687.7
0.246,2.245,30.091,0.698,5.063,8.578,91.157,15_9-F-11A,2687.8
0.249,2.243,30.392,0.674,5.067,8.578,92.168,15_9-F-11A,2687.9
0.252,2.242,29.406,0.628,5.065,8.578,92.778,15_9-F-11A,2688.0
0.255,2.241,29.714,0.605,5.05,8.547,93.843,15_9-F-11A,2688.1
0.259,2.239,29.871,0.563,5.036,8.547,95.071,15_9-F-11A,2688.2
0.264,2.232,31.212,0.551,5.031,8.578,96.092,15_9-F-11A,2688.3
0.267,2.221,30.328,0.534,5.027,8.578,97.176,15_9-F-11A,2688.4
0.266,2.207,29.873,0.529,5.006,8.578,98.255,15_9-F-11A,2688.5
0.263,2.196,27.12,0.517,4.968,8.578,99.038,15_9-F-11A,2688.6
0.261,2.19,26.75,0.509,4.929,8.578,99.609,15_9-F-11A,2688.7
0.26,2.186,27.199,0.5,4.905,8.578,100.02,15_9-F-11A,2688.8
0.262,2.184,27.252,0.5,4.895,8.578,100.22,15_9-F-11A,2688.9
0.268,2.18,28.311,0.481,4.902,8.578,100.294,15_9-F-11A,2689.0
0.273,2.179,29.341,0.485,4.942,8.578,100.268,15_9-F-11A,2689.1
0.273,2.181,28.056,0.487,5.023,8.578,100.504,15_9-F-11A,2689.2
0.271,2.185,27.083,0.485,5.133,8.578,100.671,15_9-F-11A,2689.3
0.27,2.189,27.815,0.469,5.232,8.578,100.767,15_9-F-11A,2689.4
0.273,2.19,28.857,0.459,5.288,8.578,100.893,15_9-F-11A,2689.5
0.278,2.187,28.461,0.455,5.287,8.578,101.039,15_9-F-11A,2689.6
0.28,2.181,29.238,0.452,5.238,8.578,101.207,15_9-F-11A,2689.7
0.278,2.177,28.868,0.449,5.156,8.578,101.366,15_9-F-11A,2689.8
0.276,2.175,28.468,0.447,5.065,8.578,101.604,15_9-F-11A,2689.9
0.276,2.174,28.795,0.448,4.986,8.578,101.962,15_9-F-11A,2690.0
0.279,2.173,28.078,0.425,4.94,8.578,102.289,15_9-F-11A,2690.1
0.281,2.172,30.15,0.411,4.937,8.578,102.576,15_9-F-11A,2690.2
0.28,2.169,33.368,0.394,4.985,8.578,102.799,15_9-F-11A,2690.3
0.277,2.166,32.03,0.38,5.07,8.578,103.053,15_9-F-11A,2690.4
0.277,2.164,29.933,0.366,5.168,8.547,103.292,15_9-F-11A,2690.5
0.275,2.163,29.472,0.362,5.245,8.563,103.481,15_9-F-11A,2690.6
0.275,2.162,29.153,0.358,5.285,8.578,103.529,15_9-F-11A,2690.7
0.276,2.159,28.67,0.354,5.298,8.578,103.522,15_9-F-11A,2690.8
0.278,2.155,29.009,0.351,5.304,8.578,103.468,15_9-F-11A,2690.9
0.282,2.151,30.117,0.347,5.312,8.578,103.258,15_9-F-11A,2691.0
0.287,2.149,29.371,0.344,5.327,8.578,103.008,15_9-F-11A,2691.1
0.291,2.15,27.821,0.346,5.349,8.578,102.813,15_9-F-11A,2691.2
0.29,2.154,29.693,0.344,5.366,8.578,102.671,15_9-F-11A,2691.3
0.287,2.159,29.479,0.345,5.373,8.578,102.578,15_9-F-11A,2691.4
0.284,2.163,27.316,0.346,5.362,8.578,102.615,15_9-F-11A,2691.5
0.281,2.166,27.93,0.346,5.332,8.578,102.571,15_9-F-11A,2691.6
0.282,2.166,27.138,0.345,5.289,8.578,102.484,15_9-F-11A,2691.7
0.284,2.165,27.631,0.343,5.253,8.578,102.439,15_9-F-11A,2691.8
0.287,2.162,28.018,0.346,5.246,8.578,102.457,15_9-F-11A,2691.9
0.289,2.158,28.174,0.345,5.281,8.578,102.524,15_9-F-11A,2692.0
0.29,2.154,29.602,0.343,5.34,8.578,102.645,15_9-F-11A,2692.1
0.291,2.152,29.687,0.342,5.383,8.578,102.849,15_9-F-11A,2692.2
0.291,2.149,27.439,0.339,5.386,8.578,103.121,15_9-F-11A,2692.3
0.292,2.146,27.93,0.338,5.359,8.578,103.347,15_9-F-11A,2692.4
0.291,2.142,27.574,0.334,5.326,8.578,103.664,15_9-F-11A,2692.5
0.29,2.139,27.789,0.332,5.303,8.578,104.076,15_9-F-11A,2692.6
0.288,2.137,27.485,0.33,5.29,8.578,104.52,15_9-F-11A,2692.7
0.284,2.135,28.317,0.333,5.283,8.578,104.843,15_9-F-11A,2692.8
0.282,2.135,26.062,0.335,5.281,8.578,105.011,15_9-F-11A,2692.9
0.285,2.136,25.12,0.338,5.288,8.578,104.981,15_9-F-11A,2693.0
0.293,2.138,26.272,0.34,5.308,8.578,104.798,15_9-F-11A,2693.1
0.302,2.14,27.144,0.339,5.348,8.578,104.412,15_9-F-11A,2693.2
0.303,2.141,28.417,0.337,5.402,8.578,104.123,15_9-F-11A,2693.3
0.299,2.141,27.367,0.338,5.465,8.578,103.795,15_9-F-11A,2693.4
0.292,2.14,25.925,0.341,5.524,8.578,103.367,15_9-F-11A,2693.5
0.285,2.138,26.873,0.34,5.569,8.578,102.917,15_9-F-11A,2693.6
0.278,2.135,27.243,0.339,5.577,8.625,102.462,15_9-F-11A,2693.7
0.277,2.133,26.692,0.336,5.562,8.625,102.004,15_9-F-11A,2693.8
0.28,2.132,27.048,0.334,5.555,8.625,101.617,15_9-F-11A,2693.9
0.287,2.132,27.154,0.332,5.569,8.625,101.462,15_9-F-11A,2694.0
0.287,2.133,27.309,0.328,5.574,8.578,101.935,15_9-F-11A,2694.1
0.284,2.134,27.361,0.33,5.549,8.578,102.18,15_9-F-11A,2694.2
0.282,2.134,25.933,0.332,5.499,8.578,102.328,15_9-F-11A,2694.3
0.283,2.133,26.742,0.33,5.455,8.578,102.428,15_9-F-11A,2694.4
0.287,2.133,28.129,0.33,5.448,8.578,102.15,15_9-F-11A,2694.5
0.29,2.135,26.938,0.331,5.482,8.625,101.884,15_9-F-11A,2694.6
0.298,2.136,26.274,0.333,5.511,8.578,102.646,15_9-F-11A,2694.7
0.299,2.134,28.683,0.335,5.516,8.578,103.263,15_9-F-11A,2694.8
0.296,2.131,28.472,0.334,5.503,8.578,103.793,15_9-F-11A,2694.9
0.292,2.128,27.433,0.334,5.504,8.578,104.287,15_9-F-11A,2695.0
0.286,2.125,26.801,0.334,5.52,8.578,104.557,15_9-F-11A,2695.1
0.289,2.124,26.158,0.334,5.529,8.625,104.665,15_9-F-11A,2695.2
0.286,2.125,26.878,0.333,5.524,8.578,104.734,15_9-F-11A,2695.3
0.286,2.127,30.618,0.334,5.516,8.625,104.672,15_9-F-11A,2695.4
0.287,2.13,28.401,0.335,5.518,8.578,104.497,15_9-F-11A,2695.5
0.286,2.133,26.414,0.337,5.532,8.625,104.386,15_9-F-11A,2695.6
0.288,2.135,27.207,0.341,5.538,8.625,104.21,15_9-F-11A,2695.7
0.291,2.136,25.774,0.342,5.54,8.625,103.967,15_9-F-11A,2695.8
0.292,2.137,25.35,0.342,5.539,8.625,104.294,15_9-F-11A,2695.9
0.292,2.136,27.001,0.342,5.531,8.625,104.6,15_9-F-11A,2696.0
0.285,2.136,28.725,0.344,5.511,8.578,104.851,15_9-F-11A,2696.1
0.281,2.135,28.858,0.344,5.496,8.625,105.174,15_9-F-11A,2696.2
0.276,2.135,29.082,0.344,5.508,8.625,105.51,15_9-F-11A,2696.3
0.273,2.133,28.712,0.344,5.556,8.625,105.859,15_9-F-11A,2696.4
0.274,2.131,29.495,0.341,5.628,8.625,105.884,15_9-F-11A,2696.5
0.276,2.129,27.938,0.343,5.722,8.625,105.839,15_9-F-11A,2696.6
0.283,2.127,29.326,0.343,5.842,8.672,105.752,15_9-F-11A,2696.7
0.287,2.125,28.127,0.346,5.994,8.672,105.39,15_9-F-11A,2696.8
0.29,2.125,26.511,0.345,6.156,8.672,105.1,15_9-F-11A,2696.9
0.291,2.127,26.538,0.344,6.279,8.672,105.12,15_9-F-11A,2697.0
0.291,2.13,27.151,0.346,6.325,8.672,104.603,15_9-F-11A,2697.1
0.295,2.135,26.652,0.346,6.278,8.648,103.983,15_9-F-11A,2697.2
0.295,2.139,25.95,0.349,6.151,8.625,103.526,15_9-F-11A,2697.3
0.294,2.141,27.176,0.356,5.981,8.625,103.477,15_9-F-11A,2697.4
0.292,2.14,28.006,0.359,5.819,8.625,103.64,15_9-F-11A,2697.5
0.291,2.14,27.352,0.365,5.709,8.578,104.04,15_9-F-11A,2697.6
0.287,2.14,27.542,0.366,5.665,8.625,104.246,15_9-F-11A,2697.7
0.285,2.142,27.643,0.37,5.653,8.625,104.366,15_9-F-11A,2697.8
0.286,2.144,27.49,0.371,5.645,8.625,104.521,15_9-F-11A,2697.9
0.291,2.145,27.751,0.372,5.62,8.602,104.547,15_9-F-11A,2698.0
0.291,2.145,28.2,0.388,5.579,8.625,104.502,15_9-F-11A,2698.1
0.294,2.144,27.758,0.41,5.539,8.625,104.511,15_9-F-11A,2698.2
0.297,2.142,26.374,0.431,5.506,8.625,104.378,15_9-F-11A,2698.3
0.294,2.142,24.289,0.448,5.476,8.578,104.158,15_9-F-11A,2698.4
0.295,2.143,23.427,0.471,5.444,8.625,104.175,15_9-F-11A,2698.5
0.295,2.145,26.442,0.478,5.416,8.578,104.209,15_9-F-11A,2698.6
0.294,2.147,25.554,0.469,5.393,8.578,104.257,15_9-F-11A,2698.7
0.293,2.148,26.627,0.444,5.376,8.578,104.037,15_9-F-11A,2698.8
0.291,2.147,27.531,0.427,5.361,8.578,103.859,15_9-F-11A,2698.9
0.288,2.147,27.359,0.411,5.345,8.578,103.726,15_9-F-11A,2699.0
0.285,2.147,27.439,0.391,5.312,8.578,103.539,15_9-F-11A,2699.1
0.28,2.147,27.388,0.384,5.261,8.578,103.342,15_9-F-11A,2699.2
0.276,2.147,27.136,0.379,5.215,8.578,103.137,15_9-F-11A,2699.3
0.275,2.147,27.882,0.379,5.201,8.578,102.796,15_9-F-11A,2699.4
0.278,2.147,28.711,0.38,5.217,8.578,102.584,15_9-F-11A,2699.5
0.282,2.148,28.065,0.381,5.232,8.578,102.591,15_9-F-11A,2699.6
0.284,2.149,27.606,0.38,5.224,8.578,102.673,15_9-F-11A,2699.7
0.284,2.151,26.35,0.386,5.198,8.578,102.839,15_9-F-11A,2699.8
0.284,2.152,27.628,0.388,5.17,8.578,103.148,15_9-F-11A,2699.9
0.282,2.152,28.094,0.39,5.158,8.578,103.22,15_9-F-11A,2700.0
0.28,2.152,27.208,0.382,5.161,8.578,103.276,15_9-F-11A,2700.1
0.278,2.153,26.923,0.375,5.167,8.578,103.421,15_9-F-11A,2700.2
0.275,2.155,26.718,0.365,5.167,8.578,103.246,15_9-F-11A,2700.3
0.271,2.157,26.925,0.356,5.157,8.578,103.042,15_9-F-11A,2700.4
0.271,2.158,27.904,0.359,5.139,8.578,103.044,15_9-F-11A,2700.5
0.275,2.157,27.314,0.355,5.116,8.578,103.201,15_9-F-11A,2700.6
0.284,2.155,27.866,0.356,5.097,8.578,103.456,15_9-F-11A,2700.7
0.293,2.15,28.487,0.363,5.098,8.578,103.87,15_9-F-11A,2700.8
0.301,2.142,29.229,0.362,5.128,8.578,104.458,15_9-F-11A,2700.9
0.304,2.134,29.073,0.355,5.17,8.578,105.105,15_9-F-11A,2701.0
0.3,2.128,30.119,0.347,5.186,8.578,105.615,15_9-F-11A,2701.1
0.297,2.124,30.645,0.306,5.158,8.625,106.075,15_9-F-11A,2701.2
0.29,2.122,30.441,0.286,5.099,8.578,106.495,15_9-F-11A,2701.3
0.284,2.121,30.133,0.274,5.039,8.578,106.821,15_9-F-11A,2701.4
0.28,2.12,29.635,0.272,4.987,8.578,106.986,15_9-F-11A,2701.5
0.279,2.119,30.318,0.279,4.929,8.578,107.015,15_9-F-11A,2701.6
0.28,2.119,33.057,0.296,4.871,8.578,106.723,15_9-F-11A,2701.7
0.281,2.123,31.034,0.301,4.838,8.578,106.193,15_9-F-11A,2701.8
0.284,2.128,30.257,0.298,4.839,8.578,105.453,15_9-F-11A,2701.9
0.287,2.132,31.341,0.303,4.856,8.578,104.578,15_9-F-11A,2702.0
0.289,2.136,30.479,0.308,4.881,8.578,103.62,15_9-F-11A,2702.1
0.29,2.14,29.589,0.321,4.917,8.578,102.569,15_9-F-11A,2702.2
0.291,2.147,30.227,0.35,4.97,8.578,102.176,15_9-F-11A,2702.3
0.294,2.158,33.854,0.43,5.036,8.578,101.959,15_9-F-11A,2702.4
0.302,2.171,39.809,0.658,5.11,8.547,101.935,15_9-F-11A,2702.5
0.312,2.183,40.494,0.801,5.189,8.547,102.111,15_9-F-11A,2702.6
0.321,2.193,43.61,0.836,5.263,8.578,102.324,15_9-F-11A,2702.7
0.329,2.199,42.782,0.786,5.316,8.578,102.563,15_9-F-11A,2702.8
0.332,2.202,43.528,0.775,5.35,8.578,103.144,15_9-F-11A,2702.9
0.33,2.203,46.763,0.794,5.375,8.578,103.78,15_9-F-11A,2703.0
0.329,2.203,50.122,0.855,5.401,8.578,104.415,15_9-F-11A,2703.1
0.33,2.204,52.147,0.913,5.418,8.578,105.123,15_9-F-11A,2703.2
0.335,2.211,52.462,0.972,5.428,8.578,105.847,15_9-F-11A,2703.3
0.346,2.221,57.057,1.262,5.469,8.578,106.568,15_9-F-11A,2703.4
0.364,2.233,59.429,1.378,5.582,8.578,107.581,15_9-F-11A,2703.5
0.39,2.245,65.879,0.937,5.769,8.578,108.732,15_9-F-11A,2703.6
0.416,2.255,71.963,0.834,5.978,8.578,110.035,15_9-F-11A,2703.7
0.433,2.261,73.885,0.808,6.134,8.578,111.863,15_9-F-11A,2703.8
0.433,2.263,73.811,0.864,6.198,8.578,113.725,15_9-F-11A,2703.9
0.415,2.263,72.229,0.929,6.167,8.578,114.865,15_9-F-11A,2704.0
0.4,2.26,69.317,0.967,6.082,8.625,115.429,15_9-F-11A,2704.1
0.389,2.256,66.647,1.019,5.986,8.578,115.595,15_9-F-11A,2704.2
0.389,2.252,67.761,0.987,5.907,8.578,115.111,15_9-F-11A,2704.3
0.393,2.25,68.966,0.845,5.863,8.578,114.331,15_9-F-11A,2704.4
0.396,2.252,70.898,0.862,5.867,8.578,113.296,15_9-F-11A,2704.5
0.392,2.259,73.03,0.993,5.894,8.578,111.572,15_9-F-11A,2704.6
0.384,2.265,73.237,0.935,5.891,8.578,109.383,15_9-F-11A,2704.7
0.375,2.267,73.538,0.925,5.838,8.578,106.879,15_9-F-11A,2704.8
0.365,2.262,69.528,0.915,5.768,8.547,104.949,15_9-F-11A,2704.9
0.35,2.254,63.951,1.052,5.704,8.578,103.568,15_9-F-11A,2705.0
0.339,2.242,62.61,0.898,5.646,8.578,102.685,15_9-F-11A,2705.1
0.332,2.229,59.726,0.744,5.568,8.578,103.777,15_9-F-11A,2705.2
0.329,2.216,55.897,0.715,5.466,8.578,104.647,15_9-F-11A,2705.3
0.32,2.204,51.217,0.59,5.369,8.578,105.275,15_9-F-11A,2705.4
0.311,2.192,46.536,0.495,5.271,8.578,105.384,15_9-F-11A,2705.5
0.298,2.178,41.762,0.468,5.214,8.547,103.36,15_9-F-11A,2705.6
0.287,2.164,38.954,0.432,5.191,8.578,98.531,15_9-F-11A,2705.7
0.287,2.154,34.854,0.412,5.203,8.578,95.862,15_9-F-11A,2705.8
0.293,2.153,34.975,0.393,5.255,8.578,94.307,15_9-F-11A,2705.9
0.303,2.163,38.224,0.433,5.351,8.578,94.195,15_9-F-11A,2706.0
0.314,2.181,42.797,0.492,5.497,8.578,94.941,15_9-F-11A,2706.1
0.328,2.205,48.959,0.645,5.698,8.578,96.317,15_9-F-11A,2706.2
0.344,2.234,55.52,0.734,5.943,8.578,98.67,15_9-F-11A,2706.3
0.356,2.264,62.297,0.847,6.161,8.578,100.385,15_9-F-11A,2706.4
0.362,2.292,65.885,0.924,6.285,8.578,101.815,15_9-F-11A,2706.5
0.362,2.312,63.683,0.929,6.289,8.578,102.906,15_9-F-11A,2706.6
0.363,2.323,65.101,0.899,6.219,8.578,103.26,15_9-F-11A,2706.7
0.37,2.326,69.77,0.864,6.181,8.578,103.464,15_9-F-11A,2706.8
0.384,2.326,71.285,0.912,6.226,8.578,103.925,15_9-F-11A,2706.9
0.399,2.326,74.334,1.011,6.331,8.578,104.795,15_9-F-11A,2707.0
0.407,2.327,72.299,1.051,6.439,8.578,106.03,15_9-F-11A,2707.1
0.405,2.325,69.288,1.037,6.515,8.578,108.126,15_9-F-11A,2707.2
0.396,2.319,69.938,1.046,6.556,8.578,108.833,15_9-F-11A,2707.3
0.384,2.312,70.661,1.012,6.548,8.578,108.793,15_9-F-11A,2707.4
0.368,2.303,66.023,0.949,6.485,8.578,108.477,15_9-F-11A,2707.5
0.348,2.294,60.804,0.966,6.368,8.578,108.023,15_9-F-11A,2707.6
0.327,2.283,58.303,0.921,6.198,8.578,107.554,15_9-F-11A,2707.7
0.306,2.27,55.566,0.89,6.001,8.578,107.77,15_9-F-11A,2707.8
0.291,2.26,50.345,0.626,5.813,8.578,107.823,15_9-F-11A,2707.9
0.281,2.253,45.506,0.61,5.666,8.578,107.733,15_9-F-11A,2708.0
0.275,2.251,40.264,0.594,5.571,8.578,107.271,15_9-F-11A,2708.1
0.273,2.25,37.516,0.575,5.509,8.578,106.653,15_9-F-11A,2708.2
0.274,2.245,36.939,0.537,5.454,8.578,105.889,15_9-F-11A,2708.3
0.275,2.238,35.525,0.541,5.406,8.578,105.11,15_9-F-11A,2708.4
0.274,2.23,33.131,0.581,5.371,8.578,104.376,15_9-F-11A,2708.5
0.274,2.224,32.658,0.621,5.354,8.578,103.693,15_9-F-11A,2708.6
0.276,2.22,32.949,0.608,5.355,8.578,103.566,15_9-F-11A,2708.7
0.295,2.219,34.859,0.577,5.384,8.625,103.497,15_9-F-11A,2708.8
0.32,2.217,39.514,0.652,5.47,8.578,103.468,15_9-F-11A,2708.9
0.349,2.213,44.082,0.665,5.623,8.578,102.774,15_9-F-11A,2709.0
0.374,2.209,51.273,0.677,5.808,8.578,102.38,15_9-F-11A,2709.1
0.387,2.208,58.981,0.625,5.969,8.578,102.602,15_9-F-11A,2709.2
0.394,2.21,61.068,0.651,6.069,8.625,103.016,15_9-F-11A,2709.3
0.39,2.216,60.052,0.669,6.124,8.578,103.483,15_9-F-11A,2709.4
0.381,2.222,59.202,0.664,6.173,8.578,103.987,15_9-F-11A,2709.5
0.366,2.227,56.383,0.707,6.212,8.578,104.347,15_9-F-11A,2709.6
0.354,2.232,53.444,0.737,6.216,8.625,104.353,15_9-F-11A,2709.7
0.339,2.242,49.659,0.794,6.178,8.578,103.542,15_9-F-11A,2709.8
0.325,2.255,47.129,0.798,6.115,8.602,102.661,15_9-F-11A,2709.9
0.321,2.266,44.314,0.8,6.049,8.578,101.74,15_9-F-11A,2710.0
